Counter-Strike: Global Offensive,96.1906
Baldur's Gate 3,62.3078
Cyberpunk 2077,56.7236
Grand Theft Auto V,52.4728
Forza Horizon 5,51.1564
Team Fortress 2,39.5109
Tom Clancy's Rainbow Six Siege,38.8535
Warframe,38.5397
Dota 2,36.7825
BattleBit Remastered,35.121
Rust,34.6173
Dead by Daylight,34.4458
FINAL FANTASY XIV Online,32.1479
Remnant II,29.3763
Apex Legends,25.0387
Street Fighter 6,21.6365
The Elder Scrolls Online,21.2261
Dystopy,20
War Thunder,14.888
PUBG: BATTLEGROUNDS,14.3757
Call of Duty,10.9771
